Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Jonathan Bowlan","PHI",25.2,59,89.24745721332097,103.1,107.8,14.389830508474576,7,0.11864407,26,0.44067797,3.8571431139183567,3.2057517269677143,"Jonathan Bowlan",24607,680742
"Tim Herrin","CLE",23.2,60,88.61666685740153,105.7,108,6.033333333333333,5,0.08333333,26,0.43333333,2.6619725930293296,3.2401312860648273,"Tim Herrin",25139,682120
"Tyler Rogers","TOR",26.1,82,84.44683509536937,103.8,112.9,1.481012658227848,2,0.02439024,23,0.2804878,2.050633098601242,3.2474097233095884,"Tyler Rogers",15541,643511
"Luis Medina","ATH",29.2,67,88.72727191809452,103.4,110.8,8.742424242424242,6,0.08955224,27,0.40298507,2.426966587953299,3.25366584119936,"Luis Medina",21649,665622
"Dylan Dodd","ATL",20.1,51,88.34800033569336,104.5,107.6,27.24,5,0.09803922,17,0.33333333,2.2131153531083836,3.268512132577916,"Dylan Dodd",29928,689266
"Gordon Graceffo","STL",29,77,88.10133310953776,104.2,108.9,9.973333333333333,2,0.02597403,29,0.37662338,2.7931038329066014,3.2777661410034615,"Gordon Graceffo",29519,700669
"Pierce Johnson","CIN",20,65,89.6061532827524,101.9,110.2,16.676923076923078,3,0.04615385,21,0.32307692,5.4000011265280214,3.2832826437307854,"Pierce Johnson",13435,572955
"Michael Petersen","MIA",23.1,53,90.34038411653958,104.1,112.2,17.134615384615383,6,0.11320755,20,0.37735849,3.0857148716402194,3.3239661193491687,"Michael Petersen",20827,656848
"Randy Vásquez","SDP",20.1,70,89.813042903292,100.8,110.8,13.898550724637682,3,0.04285714,23,0.32857143,3.983607005012627,3.3397600985240414,"Randy Vasquez",24719,681190
"Cade Gibson","MIA",24.1,73,85.24722279442682,103.5,109.1,4.333333333333333,3,0.04109589,27,0.36986301,5.54794665731543,3.3515500694406226,"Cade Gibson",31815,806188
"Anthony Nunez","BAL",21.2,48,85.27446844222698,103.9,106.8,13.74468085106383,1,0.02083333,20,0.41666667,1.6615386634183598,3.3790930200817644,"Anthony Nunez",25796,689296
"Bryse Wilson","MIL",20.2,68,91.2303018280954,105,112.2,14.333333333333334,2,0.02941176,30,0.44117647,3.0483873312232825,3.387411910165877,"Bryse Wilson",19990,669060
"Bennett Sousa","HOU",25.1,75,88.88108134914089,103.2,115.4,19.256756756756758,8,0.10666667,27,0.36,4.263159146868164,3.4312569451183745,"Bennett Sousa",21345,656986
"Kenley Jansen","DET",20.1,43,93.1219512195122,104.6,110,34.73170731707317,6,0.13953488,22,0.51162791,1.7704920100128017,3.4817080149721873,"Kenley Jansen",3096,445276
"Jordan Montgomery","TEX",22.1,68,86.1073527616613,104.8,108.6,2.6029411764705883,5,0.07352941,23,0.33823529,4.8358211837597915,3.495477248016396,"Jordan Montgomery",16511,656756
"John Schreiber","- - -",23,69,87.14492786794469,102.4,105.7,11.115942028985508,2,0.02898551,24,0.34782609,3.1304353383178833,3.4987795513759865,"John Schreiber",20020,670167
"Steven Matz","TBR",24,77,85.71333374023438,103.5,110,9.933333333333334,4,0.05194805,24,0.31168831,3.750000307336475,3.505318772587088,"Steven Matz",13361,571927
"Brent Suter","- - -",33.2,99,87.24791590372722,102.6,111,6.4375,7,0.07070707,34,0.34343434,1.8712872750367056,3.551687842478359,"Brent Suter",13942,608718
"Grant Wolfram","BAL",23.1,61,88.64736898321854,103.7,108,15.701754385964913,4,0.06557377,20,0.32786885,3.857143742272035,3.5897563689536955,"Grant Wolfram",21623,664991
"Hunter Gaddis","CLE",27.2,72,85.33428486415318,100.7,105.4,18.642857142857142,5,0.06944444,23,0.31944444,2.927711563470285,3.6181984633727935,"Hunter Gaddis",25636,683769
"Scott Blewett","- - -",34.1,101,87.75199890136719,102,110.8,6.64,5,0.04950495,35,0.34653465,2.6213596184648242,3.6442268919390988,"Scott Blewett",16427,656240
"Tanner Scott","LAD",23,62,88.42623025862898,104.9,109.4,12.573770491803279,4,0.06451613,25,0.40322581,3.1304353383178833,3.6554975388896613,"Tanner Scott",17586,656945
"Tyler Zuber","MIA",27.2,83,90.85678995391469,105.1,111.3,16.641975308641975,6,0.07228916,37,0.44578313,6.506025465328623,3.678310256739817,"Tyler Zuber",20379,676604
"Dylan Smith","SFG",25,68,90.903125166893,104.2,112.9,14.0625,3,0.04411765,36,0.52941176,4.3200008909227305,3.6821672277565933,"Dylan Smith",30145,681916
"Casey Legumina","TBR",24,74,87.98648628028664,102.8,110.1,10.756756756756756,3,0.04054054,28,0.37837838,4.500000771135224,3.689423150990025,"Casey Legumina",25921,668984
"Taylor Rogers","MIN",24.2,73,85.95833354526096,100.4,108,15.23611111111111,4,0.05479452,19,0.26027397,2.9189195866304174,3.7092301026559924,"Taylor Rogers",13449,573124
"Khristian Curtis","PIT",21,61,85.47540883548925,102.1,107.4,23.0327868852459,5,0.08196721,18,0.29508197,4.714285928375877,3.7310785988514423,"Khristian Curtis",33865,694753
"Jeff Hoffman","- - -",24.2,52,91.81372459262025,106.3,108.7,14.72549019607843,5,0.09615385,25,0.48076923,1.8243246049864867,3.7319052293351436,"Jeff Hoffman",17432,656546
"Carmen Mlodzinski","PIT",31.2,95,89.67849501743112,102.8,111.7,13.688172043010752,6,0.06315789,41,0.43157895,3.1263159463940644,3.7333902460909125,"Carmen Mlodzinski",27572,669387
"Andrew Morris","MIN",25.2,84,86.95301166212703,105.4,111.5,10.831325301204819,4,0.04761905,29,0.3452381,5.610390218399276,3.7461996303941514,"Andrew Morris",31891,702193
"Griffin Canning","SDP",26.1,75,89.04729688489759,104.9,109.6,7.337837837837838,4,0.05333333,26,0.34666667,3.0759496304960816,3.761236320120934,"Griffin Canning",19867,656288
"Kyle Hart","SDP",22.2,66,87.7015873742482,105,113.3,7.421875,7,0.10606061,23,0.34848485,5.1617653189504855,3.773272122130033,"Kyle Hart",19646,606996
"Luke Weaver","- - -",20,57,89.3017862864903,103.3,110,23.071428571428573,4,0.07017544,23,0.40350877,4.5000004693866265,3.775376579736356,"Luke Weaver",16918,596133
"Jovani Morán","BOS",26.2,74,86.25588181439568,102.2,112.1,13.970588235294118,5,0.06756757,21,0.28378378,3.7125003789458813,3.784876829344896,"Jovani Moran",20422,663558
"Tyler Holton","DET",27.2,85,86.77590317323984,105.1,112,11.036144578313253,4,0.04705882,31,0.36470588,1.9518076332911685,3.8006562451479216,"Tyler Holton",26231,663947
"Jack Dreyer","LAD",23,58,90.2964288847787,105.7,112.3,14.357142857142858,4,0.06896552,26,0.44827586,3.1304356182006874,3.829421161984393,"Jack Dreyer",30249,676263
"Ryan Rolison","CHC",27.1,82,85.54814769603588,101.8,106.8,12.209876543209877,5,0.06097561,26,0.31707317,3.2926841785804712,3.8420021590381785,"Ryan Rolison",22200,669020
"Chad Patrick","MIL",31,80,87.19740235960329,106.5,117.4,13.384615384615385,3,0.0375,26,0.325,2.0322584611258847,3.851741354625344,"Chad Patrick",30113,694477
"Kevin Ginkel","ARI",27.2,82,89.10000019073486,103.5,114.7,18.025,7,0.08536585,28,0.34146341,6.180723965695967,3.8551395795899106,"Kevin Ginkel",19876,656464
"Paul Blackburn","NYY",35.1,89,88.84999951449308,104.4,108.6,8.511363636363637,3,0.03370787,35,0.39325843,0.7641510785331783,3.8839985826377625,"Paul Blackburn",14739,621112
"Victor Mederos","ATL",27.1,82,87.2135800962095,103.4,110.1,24.234567901234566,3,0.03658537,32,0.3902439,4.280488498726222,3.907255801369755,"Victor Mederos",31533,682989
"Travis Adams","MIN",32.1,91,86.56043914124206,104.2,107.6,12.461538461538462,4,0.04395604,31,0.34065934,3.618557183537845,3.9098860210751765,"Travis Adams",30180,701519
"Josh Ekness","MIA",22.2,69,86.55373063727991,102.2,109.9,17.492537313432837,4,0.05797101,21,0.30434783,3.9705888687224724,3.914898581932657,"Josh Ekness",33785,694795
"Ryan Yarbrough","NYY",21.1,64,85.34833335876465,99.7,106,15.783333333333333,3,0.046875,18,0.28125,3.7968754013491406,3.9595057362351866,"Ryan Yarbrough",16502,642232
"Ryne Stanek","STL",25,64,88.07499969005585,103.6,107.5,13.328125,5,0.078125,26,0.40625,3.2400005407334276,3.961649973411984,"Ryne Stanek",15947,592773
"Steven Cruz","KCR",27.1,81,88.69124908447266,105.1,111.2,14.1375,9,0.11111111,31,0.38271605,3.62195139590614,3.9811792191892343,"Steven Cruz",23165,674444
"Victor Vodnik","- - -",28.1,91,91.63483154639769,101.3,107.8,1.0337078651685394,2,0.02197802,39,0.42857143,4.447059345864156,3.9929610424823236,"Victor Vodnik",24614,680767
"Nate Pearson","KCR",24.2,68,90.51029272640453,104.8,110.7,12.75,5,0.07352941,28,0.41176471,3.2837840112523655,4.000676159699684,"Nate Pearson",20160,663878
"Robby Ahlstrom","TEX",23,62,87.38852391477491,103.4,111.2,18.639344262295083,6,0.09677419,18,0.29032258,5.478261842056296,4.011633398541583,"Robby Ahlstrom",30167,695239
"Bryan Baker","TBR",25,67,87.90468800067902,105.1,112.1,18.484375,6,0.08955224,27,0.40298507,1.080000041198732,4.047974290737861,"Bryan Baker",19804,641329
"Brayan Bello","BOS",34,104,87.5097085156487,104.5,113.2,1.6504854368932038,2,0.01923077,36,0.34615385,2.911764869227963,4.060210828197087,"Brayan Bello",23920,678394
"Greg Weissert","BOS",21.2,60,87.77966153419624,101.7,110.5,13.084745762711865,4,0.06666667,18,0.3,2.4923082488106383,4.073432175792853,"Greg Weissert",20375,669711
"Peyton Gray","TEX",22.1,73,87.04000026157924,102.4,108.6,11.042857142857143,6,0.08219178,26,0.35616438,4.432836688475886,4.076127377760013,"Peyton Gray",25310,682608
"Jason Foley","SFG",24,85,86.83176484949449,105,112.1,5.882352941176471,5,0.05882353,32,0.37647059,4.500000754371412,4.07743491299976,"Jason Foley",19531,671345
"Luis Mey","CIN",24,65,92.66612969675371,105.7,111.9,12.682539682539682,4,0.06153846,30,0.46153846,5.250000645406623,4.088520622057858,"Luis Mey",25620,682825
"Hogan Harris","ATH",27.1,69,88.23484865824382,103.6,110.5,10.590909090909092,6,0.08695652,25,0.36231884,3.2926834605586324,4.12981722677823,"Hogan Harris",21520,663687
"Grant Taylor","CHW",33.2,82,90.2913581000434,103.5,113.7,7.419753086419753,7,0.08536585,34,0.41463415,1.603960609490988,4.140399957219566,"Grant Taylor",33927,691799
"José Alvarado","PHI",24.2,65,86.82539658319382,102.2,106.8,19.73015873015873,3,0.04615385,23,0.35384615,2.554054342063382,4.159773198352077,"Jose Alvarado",17780,621237
"Trevor Williams","- - -",25.2,69,86.42028985507247,104.4,110.2,11.18840579710145,5,0.07246377,25,0.36231884,3.5064938579990916,4.168713336089281,"Trevor Williams",16977,592866
"Taylor Clarke","ARI",28,86,87.42142904372443,104.5,110.9,15.69047619047619,7,0.08139535,28,0.3255814,2.8928576539822672,4.182003557992285,"Taylor Clarke",17611,664199
"Dylan Lee","ATL",23,70,88.61176524442784,102.6,109.4,21.91176470588235,5,0.07142857,27,0.38571429,6.260870684748311,4.215076332682089,"Dylan Lee",19996,669276
