Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Justin Bruihl","STL",-0.18056248128414154,-3.3794033527374268,3.198841094970703,-2.738999843597412,-0.24929650127887726,0.7785341143608093,0.698271632194519,0.9450588226318359,1.013244390487671,45,-0.2197824865579605,-0.01214374243251426,13,13,"Justin Bruihl",23779,677865
"José A. Ferrer","SEA",-0.1949118971824646,-4.765924453735352,4.571012496948242,1.211999773979187,0.14011463522911072,1.36387038230896,1.062430500984192,1.2191922664642334,1.056795597076416,45,0.22477708756923676,-0.3676879533748928,17,12,"Jose A. Ferrer",24017,678606
"Tyler Holton","DET",-0.35757994651794434,-3.733098268508911,3.375518321990967,3.9629998207092285,0.42167168855667114,0.8747813105583191,0.865471363067627,1.0493173599243164,0.8214684128761292,38,0.32037854194641113,-0.7291435009162399,14,9,"Tyler Holton",26231,663947
"Mitch Farris","LAA",-0.42461591958999634,-3.113502025604248,2.6888861656188965,-0.2990005612373352,-0.051230013370513916,0.7452130317687988,0.6582044959068298,0.7579538226127625,0.9313647150993347,17,-0.15286844968795776,-0.41692287371677406,5,4,"Mitch Farris",33628,815083
"Anthony Banda","MIN",-0.45192787051200867,-3.429905891418457,2.977978229522705,-4.815999984741211,-0.5150993466377258,1.1468390226364136,1.1450611352920532,1.347933292388916,1.2544000148773193,34,-0.21091045439243317,-0.18315345657659998,11,7,"Anthony Banda",14706,607455
"Kyle Hart","SDP",-0.5079640746116638,-2.6516458988189697,2.143681764602661,-3.079000234603882,-0.3286241292953491,0.9286913275718689,0.8343849182128906,1.0705922842025757,1.138266682624817,21,0.2641702890396118,-0.8111378976849654,7,4,"Kyle Hart",19646,606996
"Brent Suter","- - -",-0.5642519094981253,-2.3487372854724526,1.7844851966947317,-2.938000664114952,-0.33859206549823284,0.3788824948819231,0.44419133018201856,0.5773743486557251,0.8955749869346619,24,0.1547434851527214,-1.6439965309393094,3,6,"Brent Suter",13942,608718
"Ryan Yarbrough","NYY",-0.5772038102149963,-1.3340460062026978,0.7568421959877014,-3.183000087738037,-0.32725709676742554,0.30673402547836304,0.37622004747390747,0.5302444696426392,0.8601636290550232,11,0.15444110333919525,-2.036214112756151,0,5,"Ryan Yarbrough",16502,642232
"Tim Herrin","CLE",-0.6743958592414856,-3.9274120330810547,3.253016233444214,-1.5750001668930054,-0.14162400364875793,1.2360374927520752,0.9882737994194031,1.3233872652053833,1.2179299592971802,40,-0.21954844892024994,-0.32606271837526846,10,11,"Tim Herrin",25139,682120
"José Suarez","- - -",-0.7292058989405632,-2.9910549810156226,2.2618490513414145,-5.907999873161316,-0.5878305062651634,0.546734980493784,0.5679768662131022,0.8126307662862998,0.501368008852005,25,-0.10599474981427193,-1.2277518092260524,4,6,"Jose Suarez",19911,660761
"Evan Sisk","PIT",-0.7925938963890076,-2.836519956588745,2.0439260005950928,5.354000091552734,0.5292306542396545,0.7086314558982849,0.7242310047149658,0.8421705961227417,0.8739928603172302,28,0.4017215669155121,-1.5202069090377992,3,6,"Evan Sisk",24995,681895
"Tim Mayza","PHI",-0.8215879201889038,-2.640807867050171,1.8192200660705566,1.3109995126724243,0.09277904033660889,0.6107622385025024,0.501885712146759,0.7350333333015442,0.6279687285423279,32,0.48083341121673584,-1.8260179501353735,3,7,"Tim Mayza",15042,641835
"Sam Moll","CIN",-1.0348478555679321,-4.187446117401123,3.1525981426239014,0.6529998779296875,0.07841070741415024,1.0160703659057617,0.8504193425178528,1.109318494796753,0.9360204339027405,49,0.013843949884176254,-1.032324451129217,12,13,"Sam Moll",14874,594580
"Wandy Peralta","SDP",-1.1708619594573975,-3.560364007949829,2.3895020484924316,5.310999870300293,0.5779988169670105,0.6021538972854614,0.5515527129173279,0.7371208071708679,0.6216999888420105,32,0.03703827038407326,-1.9814946041148673,3,7,"Wandy Peralta",14295,593974
"Matt Strahm","KCR",-1.8718819618225098,-5.326702117919922,3.454820156097412,-12.619999885559082,-1.2788487672805786,1.2582790851593018,1.2532463073730469,1.4100439548492432,1.5881999731063843,37,-1.180482268333435,-0.3071701800782971,14,11,"Matt Strahm",13799,621381
"Mitchell Parker","WSN",-2.2257137298583984,-5.583069801330566,3.357356309890747,-11.734000205993652,-1.2137125730514526,1.2482751607894897,1.1300361156463623,1.2057181596755981,1.7842315435409546,19,-0.9712373614311218,-0.8117939763475723,6,9,"Mitchell Parker",27636,680730
