Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Seiya Suzuki","CHC",443,274,88.83029197080292,106.4,112.9,19.072992700729927,27,0.09854015,106,0.38686131,0.268929503,0.24704712473285137,0.46997389,0.4185026078948176,0.36020164962238493,0.3328304900426299,"Seiya Suzuki",30116,673548
"Brandon Lowe","PIT",490,306,91.05620659722223,105.7,111.1,16.715686274509803,38,0.12418301,139,0.45424837,0.254004576,0.24420641977852636,0.487414187,0.44573624637148795,0.3465297312152629,0.33204884909413346,"Brandon Lowe",18882,664040
"Iván Herrera","STL",516,347,89.35131195335276,105.3,112.3,8.98546511627907,20,0.05763689,141,0.40634006,0.24367816,0.24792326106581578,0.386206896,0.3771907007971475,0.33248511934652925,0.3319204055816229,"Ivan Herrera",20599,671056
"Cole Young","SEA",473,356,88.8177966101695,104.2,111.3,14.031073446327683,18,0.0505618,138,0.38764045,0.262790697,0.2768325628236283,0.409302325,0.41714186557503635,0.32171464799824406,0.33040909847970734,"Cole Young",31680,702284
"Kyle Stowers","MIA",395,227,92.03716987002213,106.8,112.8,18.73008849557522,26,0.11453744,124,0.54625551,0.239193083,0.2327867447471069,0.455331412,0.4344409425938851,0.33792326614564777,0.3297594031509088,"Kyle Stowers",26151,669065
"Nolan Schanuel","LAA",404,308,87.57719615228012,101.3,106.6,11.657980456026058,8,0.02597403,102,0.33116883,0.272980501,0.28111141704251175,0.389972144,0.3865571088445552,0.32636523689373886,0.329552150008702,"Nolan Schanuel",33189,694384
"Manny Machado","SDP",488,324,90.66062622070312,105.7,112,13.629283489096574,34,0.10493827,143,0.44135802,0.211764705,0.2404113480948951,0.42117647,0.4307305085743573,0.31068917665599793,0.3294052820482689,"Manny Machado",11493,592518
"William Contreras","MIL",463,355,89.86675836267605,105.9,112.8,11.659154929577465,26,0.07323944,153,0.43098592,0.267469879,0.26241927549063443,0.392771084,0.43308193712349397,0.3176632659887177,0.3292386588967184,"William Contreras",20503,661388
"Cam Smith","HOU",427,281,89.44079281362816,107.3,114.7,12.444043321299638,32,0.113879,125,0.44483986,0.22047244,0.2457857081499049,0.388451443,0.43606611786696015,0.300098996487022,0.3290687001906952,"Cam Smith",35108,701358
"Rafael Devers","SFG",495,315,92.5226824580671,107.1,112.5,13.757188498402556,35,0.11111111,162,0.51428571,0.246606334,0.23509545759721237,0.475113122,0.4493522644042969,0.3398699830845757,0.3280554773373594,"Rafael Devers",17350,646240
"Otto Lopez","MIA",494,401,89.09771573604061,104.9,112.8,8.063131313131313,25,0.06234414,165,0.41147132,0.317286652,0.2850704781284416,0.470459518,0.42752421374888144,0.3537121400659384,0.32713839964080005,"Otto Lopez",19608,672640
"Geraldo Perdomo","ARI",494,357,87.27667752368805,99.6,109.9,14.606413994169095,12,0.03361345,106,0.29691877,0.244498777,0.24969950333017435,0.376528117,0.3425788315646167,0.3304972772949312,0.32686819068688916,"Geraldo Perdomo",22799,672695
"Josh Bell","MIN",455,320,90.00968627929687,104.4,113.7,14.221875,32,0.1,134,0.41875,0.253012048,0.24797591243881778,0.424096385,0.4384361542851092,0.3229360659043867,0.32472068032065593,"Josh Bell",13145,605137
"Jo Adell","- - -",479,330,89.84907990438076,107.8,114.9,17.01840490797546,28,0.08484848,144,0.43636364,0.235294117,0.2555045722282096,0.389140271,0.4376164222961147,0.2977456354646942,0.3242543471486945,"Jo Adell",20220,666176
"Jackson Merrill","SDP",483,334,90.09725728849085,104,109.7,14.182926829268293,36,0.10778443,155,0.46407186,0.241610738,0.2541973131119938,0.4049217,0.4505336402243028,0.3028970525354521,0.32375692371552345,"Jackson Merrill",29490,701538
"TJ Rumfield","COL",459,341,83.92455621301775,101.2,110.2,15.878698224852071,16,0.04692082,96,0.28152493,0.298765432,0.25863184383259485,0.46419753,0.3831790905093672,0.3692409052048893,0.32364152607164887,"TJ Rumfield",29805,681198
"Steven Kwan","CLE",440,335,83.58871718260188,94.1,102.1,13.398119122257054,1,0.00298507,29,0.08656716,0.26344086,0.2745162139067779,0.327956989,0.3369973053803315,0.3165398597167934,0.3231928354073013,"Steven Kwan",24610,680757
"Nico Hoerner","CHC",511,422,85.8854415274463,99.9,105.8,12.86634844868735,5,0.01184834,119,0.28199052,0.257019438,0.29583697111710255,0.358531317,0.373230444866678,0.3008055012753332,0.3227301469938023,"Nico Hoerner",21479,663538
"Hunter Goodman","COL",445,253,90.55936410607569,107.7,116.2,18.737051792828684,41,0.16205534,116,0.45849802,0.251870324,0.22745865747743382,0.538653366,0.45537343419584114,0.3633505332523881,0.3226174441250888,"Hunter Goodman",29715,696100
"Isaac Paredes","HOU",472,342,86.29736613669591,101.4,109.5,23.640350877192983,19,0.05555556,100,0.29239766,0.253071253,0.24728745968980345,0.417690417,0.37351352401096055,0.3393167108297348,0.32190962969246556,"Isaac Paredes",20036,670623
"Josh Naylor","SEA",470,370,87.82712435787671,103.4,111.5,12.87945205479452,18,0.04864865,134,0.36216216,0.262295081,0.2724201936677028,0.372365339,0.39534272386434494,0.31013932166824504,0.3215591037733872,"Josh Naylor",18839,647304
"Ryan O'Hearn","PIT",398,276,89.28913326539855,102.6,108.1,13.96376811594203,20,0.07246377,120,0.43478261,0.270194986,0.25360166926901984,0.454038997,0.4099582257709131,0.34280222729411475,0.32116862568506965,"Ryan O'Hearn",16442,656811
"Xavier Edwards","MIA",493,372,86.93873411744505,99.9,108.6,10.656593406593407,14,0.03763441,108,0.29032258,0.286713286,0.26745794421044466,0.393939393,0.37325233388169904,0.3357134849383846,0.32106627162101337,"Xavier Edwards",22266,669364
"Kody Clemens","MIN",415,293,92.35798475477431,104.8,108.2,16.30902777777778,33,0.11262799,134,0.45733788,0.230971128,0.24602375684753258,0.459317585,0.4345461561057058,0.31947142869523426,0.3209770760885099,"Kody Clemens",20572,665019
"Nick Gonzales","PIT",467,351,86.22844827586206,102,109.7,6.646551724137931,10,0.02849003,123,0.35042735,0.309302325,0.28154205607476634,0.402325581,0.38536449681932683,0.3398950031023209,0.3201451127247144,"Nick Gonzales",27490,693304
"Xander Bogaerts","SDP",446,309,88.35778967126623,103.6,111,5.318181818181818,17,0.05501618,123,0.39805825,0.222797927,0.2471506490335836,0.321243523,0.3699922239625609,0.2909269056963117,0.31870857444969386,"Xander Bogaerts",12161,593428
"Spencer Torkelson","DET",460,264,89.52977397423665,103.4,109.8,19.66030534351145,35,0.13257576,110,0.41666667,0.224438902,0.2209025001525879,0.421446384,0.4146324920654297,0.3226166480506947,0.31860811325139876,"Spencer Torkelson",27465,679529
"Jake McCarthy","COL",394,304,85.18339360644876,102,110.4,12.12720848056537,16,0.05263158,81,0.26644737,0.304945054,0.27219559010066935,0.516483516,0.4091708180661372,0.3668738053395198,0.31723322537380505,"Jake McCarthy",21622,664983
"Bo Bichette","NYM",505,379,89.2595279431217,105.4,114.9,8.158730158730158,23,0.06068602,152,0.40105541,0.255364806,0.2748365668840306,0.366952789,0.4052559145035282,0.29302198981294536,0.3172195979527065,"Bo Bichette",19612,666182
"Gavin Sheets","SDP",375,250,87.445203125,103.5,110.1,12.532,17,0.068,98,0.392,0.212307692,0.2307415301983173,0.387692307,0.3809200110802284,0.3113532670338949,0.31621706136067707,"Gavin Sheets",19901,657757
"Jung Hoo Lee","SFG",433,366,86.8497226778315,100.6,107.6,9.911602209944752,9,0.02459016,106,0.28961749,0.301234567,0.2915222810046508,0.444444444,0.38033910316996056,0.33986995181640905,0.31409083472357857,"Jung Hoo Lee",33824,808982
"Brandon Marsh","PHI",444,305,89.60728606167218,103.6,110.1,13.460264900662251,26,0.0852459,136,0.44590164,0.275362318,0.2633680477557979,0.442028985,0.4238087282342426,0.3259391206192051,0.3133996096524325,"Brandon Marsh",20202,669016
"Mauricio Dubón","ATL",456,366,86.79889304882272,100.9,108.3,14.947368421052632,15,0.04098361,112,0.30601093,0.268408551,0.2718380882626488,0.403800475,0.38659998575846355,0.31640618881293103,0.3122171541539634,"Mauricio Dubon",16530,643289
"Liam Hicks","- - -",425,334,85.17993683510639,101.1,107.5,13.894259818731118,13,0.03892216,96,0.28742515,0.281420765,0.25014560825222143,0.437158469,0.3492637427298577,0.35203016030279943,0.31206370879471446,"Liam Hicks",29844,689414
"Daylen Lile","WSN",484,358,88.31036633403362,103.3,109.5,18.478991596638654,30,0.08379888,130,0.36312849,0.244394618,0.25011012045185216,0.419282511,0.4124314554621664,0.309679369008319,0.31169520967728864,"Daylen Lile",29995,695734
"Ian Happ","CHC",485,264,89.34753000237643,105.7,111.5,15.11787072243346,31,0.11742424,110,0.41666667,0.211538461,0.19899277284920933,0.411057692,0.3931710852197854,0.322352013647309,0.31066732743673664,"Ian Happ",17919,664023
"Alex Bregman","CHC",526,377,88.2938829787234,101.3,108.3,16.93633952254642,16,0.04244032,142,0.37665782,0.245614035,0.24053406767792754,0.379385964,0.3568461659190419,0.3186096189586261,0.3088929448027456,"Alex Bregman",17678,608324
"Gunnar Henderson","BAL",526,352,89.63920454545455,105.1,111.9,12.326704545454545,25,0.07102273,159,0.45170455,0.214893617,0.23498723456200132,0.387234042,0.3858361751475233,0.2998017914422596,0.30869715450374224,"Gunnar Henderson",26289,683002
"Christian Walker","HOU",473,311,89.49967971262058,106.2,112.5,14.85209003215434,30,0.09646302,132,0.4244373,0.241706161,0.2283080584630017,0.459715639,0.39140995983828863,0.33877672966878125,0.3083393072626393,"Christian Walker",13419,572233
"Marcus Semien","NYM",387,273,86.69814416821562,101.7,107.5,18.739776951672862,20,0.07326007,99,0.36263736,0.213068181,0.24713143484933037,0.363636363,0.40141427176339284,0.2795842923030952,0.3082318902015686,"Marcus Semien",12533,543760
"Ezequiel Duran","TEX",409,281,88.63040149954213,103.8,111.5,11.263736263736265,18,0.06405694,101,0.3594306,0.274932614,0.25345107783441956,0.455525606,0.38460325158160663,0.3393725983652414,0.3075445858048804,"Ezequiel Duran",23733,677649
"George Springer","TOR",378,268,88.53872474154136,104.3,109.2,12.06015037593985,19,0.07089552,103,0.38432836,0.234234234,0.22983784718556446,0.396396396,0.37744745477899777,0.3161867914199829,0.3070037434895833,"George Springer",12856,543807
"Willi Castro","COL",391,247,87.50288933367769,105.8,112.1,19.14876033057851,21,0.08502024,97,0.39271255,0.26345609,0.2312755584716797,0.424929178,0.3919943029230291,0.3334435809908621,0.3065197088779547,"Willi Castro",17338,650489
"Luke Keaschall","MIN",428,308,84.6655737704918,101.1,107.3,16.868852459016395,10,0.03246753,88,0.28571429,0.265027322,0.23881643634952912,0.363387978,0.3456958927520334,0.32373958154463434,0.30619226792279414,"Luke Keaschall",33321,807712
"Isaac Collins","KCR",390,253,88.50161447832662,104.9,110.9,16.657258064516128,14,0.05533597,103,0.40711462,0.23880597,0.23529551491808534,0.367164179,0.3319731299556903,0.3171001224173713,0.3058576878813124,"Isaac Collins",25477,686555
"Luis Arraez","- - -",487,435,87.04098532183109,97,104.4,16.02576112412178,4,0.0091954,88,0.20229885,0.324263038,0.2863854842932046,0.446712018,0.3758526172767691,0.3468484671110877,0.30546167561593046,"Luis Arraez",18568,650333
"Colson Montgomery","CHW",465,264,88.81106870229007,106.3,114.4,23.34732824427481,32,0.12121212,108,0.40909091,0.214457831,0.21066101295896072,0.438554216,0.41161743607417145,0.3169917299117877,0.30438850751889296,"Colson Montgomery",29712,695657
"Alec Bohm","PHI",460,358,90.54173778886555,104.2,109.4,8.565826330532213,18,0.05027933,149,0.41620112,0.224343675,0.2482440163644307,0.357995226,0.379026312577097,0.2832523973091789,0.3043672981345316,"Alec Bohm",21618,664761
